filename,size_mb,lines,modified
1390_entities_dataset_v2.json,0.163,7088,2025-09-30T11:31:07
142_entities_dataset_v2.json,3.174,114517,2025-09-30T11:31:10
1468_entities_dataset_v2.json,0.454,17342,2025-09-30T11:31:08
1753_entities_dataset_v2.json,5.432,200928,2025-09-30T11:31:11
1777_entities_dataset_v2.json,1.769,70585,2025-09-30T11:31:10
1851_entities_dataset_v2.json,0.477,19840,2025-09-30T11:31:08
1954_entities_dataset_v2.json,0.852,31948,2025-09-30T11:31:09
1955_entities_dataset_v2.json,1.553,59558,2025-09-30T11:31:10
1960_entities_dataset_v2.json,3.74,136835,2025-09-30T11:31:11
1964_entities_dataset_v2.json,2.806,111023,2025-09-30T11:31:10
1965_entities_dataset_v2.json,2.331,104494,2025-09-30T11:31:10
1976_entities_dataset_v2.json,0.501,19697,2025-09-30T11:31:09
1977_entities_dataset_v2.json,1.379,54251,2025-09-30T11:31:09
1997_entities_dataset_v2.json,0.828,31418,2025-09-30T11:31:09
1_entities_dataset_v2.json,6.416,265756,2025-09-30T11:31:11
2001_entities_dataset_v2.json,0.938,36462,2025-09-30T11:31:09
2074_entities_dataset_v2.json,0.634,24916,2025-09-30T11:31:09
2077_entities_dataset_v2.json,0.134,5591,2025-09-30T11:31:08
2150_entities_dataset_v2.json,0.169,7436,2025-09-30T11:31:08
2151_entities_dataset_v2.json,0.135,6172,2025-09-30T11:31:08
2152_entities_dataset_v2.json,0.135,6120,2025-09-30T11:31:08
2153_entities_dataset_v2.json,0.139,6225,2025-09-30T11:31:08
2155_entities_dataset_v2.json,0.138,5718,2025-09-30T11:31:08
267_entities_dataset_v2.json,3.013,113277,2025-09-30T11:31:10
268_entities_dataset_v2.json,6.979,268454,2025-09-30T11:31:12
2692_entities_dataset_v2.json,0.173,8030,2025-09-30T11:31:08
2693_entities_dataset_v2.json,0.165,7568,2025-09-30T11:31:08
2694_entities_dataset_v2.json,0.155,7019,2025-09-30T11:31:08
2695_entities_dataset_v2.json,0.153,6643,2025-09-30T11:31:08
2696_entities_dataset_v2.json,0.147,6614,2025-09-30T11:31:08
2697_entities_dataset_v2.json,0.169,7695,2025-09-30T11:31:08
2698_entities_dataset_v2.json,0.151,6908,2025-09-30T11:31:08
2699_entities_dataset_v2.json,0.139,6204,2025-09-30T11:31:08
269_entities_dataset_v2.json,7.201,275062,2025-09-30T11:31:12
2700_entities_dataset_v2.json,0.139,5786,2025-09-30T11:31:08
2708_entities_dataset_v2.json,0.157,6669,2025-09-30T11:31:08
270_entities_dataset_v2.json,1.96,70005,2025-09-30T11:31:10
271_entities_dataset_v2.json,6.399,236798,2025-09-30T11:31:11
2726_entities_dataset_v2.json,0.156,6527,2025-09-30T11:31:08
272_entities_dataset_v2.json,6.278,270423,2025-09-30T11:31:11
2733_entities_dataset_v2.json,0.149,6813,2025-09-30T11:31:08
2737_entities_dataset_v2.json,0.155,6934,2025-09-30T11:31:08
273_entities_dataset_v2.json,5.653,211308,2025-09-30T11:31:11
2740_entities_dataset_v2.json,0.145,6223,2025-09-30T11:31:08
2741_entities_dataset_v2.json,0.144,6618,2025-09-30T11:31:08
274_entities_dataset_v2.json,4.425,162735,2025-09-30T11:31:11
275_entities_dataset_v2.json,1.015,39907,2025-09-30T11:31:09
276_entities_dataset_v2.json,3.687,147430,2025-09-30T11:31:11
277_entities_dataset_v2.json,2.081,76074,2025-09-30T11:31:10
2802_entities_dataset_v2.json,0.149,6638,2025-09-30T11:31:08
2803_entities_dataset_v2.json,0.142,6085,2025-09-30T11:31:08
