title,group,product,entities,random_key,image_url,brand,persian_name
اتمام موجودی ست دونفره میترا- ست زوج-ست کاپل- مانتو پیچازی- شلوار مردانه-ست زن و شوهر-ست خانم و آقا -تیپ بروز,زنانه و مردانه,ست دونفره میترا,"[{'name': 'نوع کلی', 'values': ['ست دونفره', 'ست زوج', 'ست کاپل', 'ست زن و شوهر', 'ست خانم و آقا']}, {'name': 'نوع پوشاک', 'values': ['مانتو', 'شلوار']}, {'name': 'طرح', 'values': ['پیچازی']}]",da9f7dcb-9c88-4592-9a95-f2f838b24bd6,https://image.torob.com/base/images/U2/i7/U2i7anFx6PgF_GdL.jpg,,
تیشرت ست تو مرا گنج جهانی,نامشخص,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'طرح', 'values': ['تو مرا گنج جهانی']}]",2869cf74-5654-4b05-9c50-4fe9e364bd6f,https://image.torob.com/base/images/Gj/lJ/GjlJ6IPv7JV7HmFY.webp,,
بلوز شلوار گلدوزی تامی مردانه,مردانه,بلوز شلوار,"[{'name': 'نوع پوشاک', 'values': ['بلوز شلوار']}, {'name': 'ویژگی ها', 'values': ['گلدوزی']}, {'name': 'برند', 'values': ['تامی']}]",a44ce944-5fa4-484f-b57f-70dc2e2e9488,https://image.torob.com/base/images/Dr/vK/DrvKb-tZmq6T8GZf.jpg,,
ست بلوز و شلوار قلب بی نهایت,نامشخص,ست بلوز و شلوار,"[{'name': 'نوع پوشاک', 'values': ['ست بلوز و شلوار']}, {'name': 'طرح', 'values': ['قلب بی نهایت']}]",f759ce7b-2efe-4d8d-9397-05dcb7aa97a7,https://image.torob.com/base/images/sg/fS/sgfS-Z0uRJo3gJM2.jpg,,
نیم ست شنی کد 152200113,نامشخص,نیم ست,"[{'name': 'نوع پوشاک', 'values': ['نیم ست']}]",4eba4403-33cd-4b2d-8d15-7b94348a55ce,https://image.torob.com/base/images/A-/Xf/A-Xf1IhgP8MP8wPU.jpg,,
ست باحجاب زنانه بیگ دارت اورجینال صورتی Bigdart 6663BGD19 ست شلوار تونیک فوشیا زنانه بالا و پایین 6663,زنانه,ست,"[{'name': 'نوع پوشاک', 'values': ['ست شلوار تونیک']}, {'name': 'طرح', 'values': ['بیگ دارت']}, {'name': 'رنگ', 'values': ['صورتی', 'فوشیا']}, {'name': 'ویژگی ها', 'values': ['با حجاب', 'اورجینال']}, {'name': 'برند', 'values': ['Bigdart']}]",620adaca-7355-4e75-9bb8-37036df3cdb8,https://image.torob.com/base/images/u9/V3/u9V3XQjY0ulljSZj.jpg,,
ست مراکشی نیم زیپ,نامشخص,ست مراکشی,"[{'name': 'ویژگی ها', 'values': ['نیم زیپ']}]",68672d9a-08d7-4db4-9214-63516b40c8b3,https://image.torob.com/base/images/QH/-a/QH-apGRRJe7SFZVV.jpg,,
کراپ شلوار نایک,نامشخص,کراپ شلوار,"[{'name': 'نوع پوشاک', 'values': ['کراپ شلوار']}, {'name': 'برند', 'values': ['نایک']}]",5d1cc8ae-8ef8-49c8-b54c-78c75081c454,https://image.torob.com/base/images/et/01/et01b6H7WgItQb-F.jpg,,
ست کاپل(زوج) خزان - فری سایز 36تا 50 /,زنانه و مردانه,ست کاپل,"[{'name': 'نوع کلی', 'values': ['ست کاپل(زوج)']}, {'name': 'طرح', 'values': ['خزان']}, {'name': 'سایز', 'values': ['فری سایز 36تا 50']}]",e42ef0d1-a92e-4bef-81b1-ee1e49be1974,https://image.torob.com/base/images/FF/nW/FFnWzsNKibXoSVqO.jpg,,
تیشرت ست یلدا طرح خوشبختی من,نامشخص,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'مناسبت/فصل', 'values': ['یلدا']}, {'name': 'طرح', 'values': ['خوشبختی من']}]",cd648f25-3213-472f-bef6-38f39a848d02,https://image.torob.com/base/images/-M/UW/-MUWkkgs1wEDxkMk.jpg,,
تیشرت ست آقا و خانوم موشه,آقا و خانوم,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'طرح', 'values': ['موشه']}]",fc7db4a6-7198-404e-9b4e-ce18dc7fd9f5,https://image.torob.com/base/images/O7/yi/O7yiuTuw3Se3N9nP.webp,,
ست هودی مردانه و زنانه 27 مدل VAL کد MR56 رنگ طوسی مجموعه 2 عددی,مردانه و زنانه,ست هودی,"[{'name': 'نوع پوشاک', 'values': ['هودی']}, {'name': 'رنگ', 'values': ['طوسی']}, {'name': 'برند', 'values': ['VAL']}]",10a4edf0-e023-4e4d-8dbf-ae0a496e2a3e,https://image.torob.com/base/images/9a/P4/9aP4iN_cCxYNZkf3.jpg,,
تیشرت شلوار دکمه ای بالنسیا,نامشخص,تیشرت شلوار,"[{'name': 'نوع پوشاک', 'values': ['تیشرت شلوار']}, {'name': 'ویژگی ها', 'values': ['دکمه ای']}, {'name': 'برند', 'values': ['بالنسیا']}]",d2213d09-e08a-4584-b5d1-fbeca9a267cd,https://image.torob.com/base/images/nb/US/nbUSQgMftFnK_nRc.jpg,,
بلوز شلوار طرح ماهی 2012 - کد,نامشخص,بلوز شلوار,"[{'name': 'نوع پوشاک', 'values': ['بلوز شلوار']}, {'name': 'طرح', 'values': ['ماهی']}]",c76b1bfa-5551-462a-aabf-0c3f95b4e8b9,https://image.torob.com/base/images/8S/_-/8S_-cW8qyi86Gtys.jpg,,
هودی شلوار ست ۴ تکه ارغوان,نامشخص,ست هودی شلوار,"[{'name': 'نوع پوشاک', 'values': ['هودی شلوار']}, {'name': 'طرح', 'values': ['ارغوان']}]",5c64f0d3-0998-433e-b404-742c2e183830,https://image.torob.com/base/images/Vr/JC/VrJC2CKcEWiT2M2F.jpg,,
ست دو نفره تیشرت ولنتاین طرح T042,دونفره,ست تیشرت,"[{'name': 'نوع کلی', 'values': ['ست دو نفره']}, {'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'مناسبت/فصل', 'values': ['ولنتاین']}]",2b410130-e922-4d38-80ef-a2ce3387d6b9,https://image.torob.com/base/images/ok/g2/okg2hmVR2dZ8DLRn.jpg,,
تیشرت دونفره فانتزی با عکس عاشقانه ولنتاین کد 19,نامشخص,تیشرت,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'طرح', 'values': ['فانتزی', 'عاشقانه']}, {'name': 'مناسبت/فصل', 'values': ['ولنتاین']}, {'name': 'نوع کلی', 'values': ['دونفره']}]",e2dbba6b-c2d4-4def-86b6-3c977188e255,https://image.torob.com/base/images/qv/zs/qvzsVOWx8T4dr1eJ.jpg,,
ست دختر و پسری دو عدد تیشرت با هم,نامشخص,ست تیشرت,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'نوع کلی', 'values': ['دختر و پسری']}]",82ad7abf-7a80-411a-83b9-a559a40d12d2,https://image.torob.com/base/images/U9/qe/U9qex3cMhWxadTS8.jpg,,
نیم ست شنی کد 15220014,نامشخص,نیم ست,"[{'name': 'نوع کلی', 'values': ['نیم ست']}, {'name': 'ویژگی ها', 'values': ['شنی']}]",d1f9d430-cee6-43a4-b6e4-df67d93264ae,https://image.torob.com/base/images/l4/Oi/l4OiKLkdBaatVjv2.jpg,,
تیشرت شب یلدا تایپوگرافی شعر,نامشخص,تیشرت,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'مناسبت/فصل', 'values': ['شب یلدا']}, {'name': 'طرح', 'values': ['تایپوگرافی شعر']}, {'name': 'نوع کلی', 'values': ['تیشرت']}]",e78de8c0-3e50-4019-b1e1-2c4a6418f9ed,https://image.torob.com/base/images/F1/iS/F1iS6LxxMnVVSL1F.webp,,
ست لباس زنانه اسپرت,زنانه,ست لباس,"[{'name': 'نوع کلی', 'values': ['ست لباس']}, {'name': 'ویژگی ها', 'values': ['اسپرت']}]",edc3a299-01a4-4e03-a5c4-42df4452f84a,https://image.torob.com/base/images/2g/eV/2geV2iXyVoJRGOGo.webp,,
پیراهن مردانه کت و سارافون زنانه ست زوج کد 127,زوج,ست,"[{'name': 'نوع کلی', 'values': ['ست زوج', 'پیراهن مردانه', 'کت و سارافون زنانه']}]",ccdfe71f-346c-4618-838c-3e3d667b410a,https://image.torob.com/base/images/Gh/Ty/GhTyKZMiqMzOiRVO.jpg,,
ست بلوز شلوار نخی دمپا کش 2018 - خردلی,نامشخص,ست بلوز شلوار,"[{'name': 'نوع پوشاک', 'values': ['بلوز شلوار']}, {'name': 'جنس', 'values': ['نخی']}, {'name': 'رنگ', 'values': ['خردلی']}, {'name': 'ویژگی ها', 'values': ['دمپا کش']}, {'name': 'نوع کلی', 'values': ['ست بلوز شلوار']}]",80e2ac09-fc7a-4b95-9de9-9afcdbfcdbb8,https://image.torob.com/base/images/lF/GQ/lFGQgVz__CRG7ulV.jpg,,
تیشرت ست فانتزی پازل قلب و آهنربا کد T - 50740,نامشخص,تیشرت,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'طرح', 'values': ['فانتزی', 'پازل قلب و آهنربا']}, {'name': 'نوع کلی', 'values': ['تیشرت ست']}]",fd2975c8-9da3-4000-89c1-fc9d751a29b5,https://image.torob.com/base/images/Y7/Mm/Y7MmaPVGE6Tpr74m.jpg,,
ست دو نفره تیشرت شب یلدا طرح T217,نامشخص,ست دو نفره تیشرت,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'مناسبت/فصل', 'values': ['شب یلدا']}, {'name': 'نوع کلی', 'values': ['ست دو نفره تیشرت']}]",f90032db-1bc8-4724-90b5-f8e0cdeb7904,https://image.torob.com/base/images/8U/Of/8UOfF_MvGMtGT09v.jpg,,
ست مردانه ایر جونز کد A15ER-85249 - 19351 | AIR JONES,مردانه,ست,"[{'name': 'برند', 'values': ['ایر جونز', 'AIR JONES']}, {'name': 'نوع کلی', 'values': ['ست']}]",0fe5a6ad-016f-4734-8a83-6516d1db84f7,https://image.torob.com/base/images/dO/Yq/dOYqLfhkyyCpuPXA.jpg,,
تی شرت زنانه و مردانه اسنوپی و دوستان,زنانه و مردانه,تی شرت,"[{'name': 'نوع پوشاک', 'values': ['تی شرت']}, {'name': 'طرح', 'values': ['اسنوپی و دوستان']}, {'name': 'نوع کلی', 'values': ['تی شرت']}]",6e8179f9-ee28-4910-a914-e01962a375bb,https://image.torob.com/base/images/Bv/zL/BvzLu-Diqu7N0MrB.jpg,,
ست دو نفره تیشرت شب یلدا طرح T028,نامشخص,ست دو نفره تیشرت,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'مناسبت/فصل', 'values': ['شب یلدا']}, {'name': 'نوع کلی', 'values': ['ست دو نفره تیشرت']}]",16fde707-65dd-47d6-ae0c-2b0e9cac581c,https://image.torob.com/base/images/Wo/0n/Wo0nN2tsPjUQ401p.jpg,,
ست تیشرت سفید شب یلدا,نامشخص,ست تیشرت,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'رنگ', 'values': ['سفید']}, {'name': 'مناسبت/فصل', 'values': ['شب یلدا']}, {'name': 'نوع کلی', 'values': ['ست تیشرت']}]",6311ed2e-e820-4395-a579-970c6a9f785d,https://image.torob.com/base/images/Ho/Wh/HoWhAYG0KOvOyVY_.jpg,,
پیراهن مردانه شومیز زنانه ست زوج کد 146,زوج,ست,"[{'name': 'نوع کلی', 'values': ['ست زوج', 'پیراهن مردانه', 'شومیز زنانه']}]",339fa3ba-bfe4-4392-bb26-bedba22dfeb9,https://image.torob.com/base/images/R-/wW/R-wW8ooSI79zst-E.jpg,,
تیشرت ست دوستت دارم,نامشخص,تیشرت,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'طرح', 'values': ['دوستت دارم']}, {'name': 'نوع کلی', 'values': ['تیشرت ست']}]",4a30fa2c-80a4-4c01-98d9-57344cfeab92,https://image.torob.com/base/images/9f/xt/9fxtUYzfxdplRHQg.webp,,
تیشرت ست نخی آخ جون تولدمه,نامشخص,تیشرت,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'جنس', 'values': ['نخی']}, {'name': 'طرح', 'values': ['آخ جون تولدمه']}, {'name': 'نوع کلی', 'values': ['تیشرت ست']}]",9244737f-08cb-44dc-a828-46d2b16914e9,https://image.torob.com/base/images/El/_l/El_lLExJvAp_fIQH.webp,,
تیشرت ست ماه و خورشید قرمز,زنانه و مردانه,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت']}, {'name': 'رنگ', 'values': ['قرمز']}, {'name': 'طرح', 'values': ['ماه و خورشید']}]",501c1c5c-b038-4639-8c2e-12081c02c345,https://image.torob.com/base/images/rY/e_/rYe_kyq7Srkk1KfB.webp,,
تیشرت ست I love You Forever مدل A 25,زنانه و مردانه,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت']}, {'name': 'طرح', 'values': ['I love You Forever']}]",7f429848-026b-4c45-8b87-c05605ddaac5,https://image.torob.com/base/images/3u/I5/3uI56xwnNyhPospi.webp,,
پیراهن مردانه خارجی ساتن کشی استین کوتاه دوتیکه طرح کت,مردانه,پیراهن مردانه,"[{'name': 'نوع آستین', 'values': ['آستین کوتاه']}, {'name': 'جنس', 'values': ['ساتن کشی']}]",118c9683-25e8-423c-bfb4-ca77afe54e22,https://image.torob.com/base/images/Mb/ps/MbpsgTG99oWweEPV.jpg,,
هودی ست زوج ، هودی دورس سه نخ تو کرکی زنانه مردانه ارسال رایگان، سوییشرت ست زن و شوهری ، هودی مردانه هودی زنانه ، زوجین,زنانه و مردانه,هودی ست,"[{'name': 'نوع پوشاک', 'values': ['هودی ست']}, {'name': 'جنس', 'values': ['دورس سه نخ']}, {'name': 'ویژگی ها', 'values': ['تو کرکی']}, {'name': 'نوع کلی', 'values': ['هودی ست زوج', 'سوییشرت ست زن و شوهری']}]",c1955646-a2f3-41a4-8158-ce5136fd47fa,https://image.torob.com/base/images/90/-1/90-1Zyrrqdm_9vyl.jpg,,
ست تیشرت وشلوار زوج زنانه سویکس,زنانه و مردانه,ست تیشرت و شلوار,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت و شلوار']}, {'name': 'نوع کلی', 'values': ['ست زوج']}, {'name': 'برند', 'values': ['سویکس']}]",58d16b48-2f91-4c8a-add1-66b8422170ab,https://image.torob.com/base/images/Gz/kW/GzkW8Qh8e-c5pWut.jpg,,
تیشرت ست شب یلدا با طراحی ویژه,زنانه و مردانه,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت']}, {'name': 'مناسبت/فصل', 'values': ['شب یلدا']}]",b63ae8a2-233e-44a7-b228-84ba5d3d1cf1,https://image.torob.com/base/images/Vj/WX/VjWXCwZETSVVsJ5y.webp,,
تیشرت مردانه و زنانه مذهبی طرح چشم و ابرویی مرا دیوانه کرد کد 429,مردانه و زنانه,تیشرت,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'طرح', 'values': ['چشم و ابرویی مرا دیوانه کرد']}]",77e2210e-327d-485c-9ed9-74c30d27ddcc,https://image.torob.com/base/images/_-/DP/_-DPL4iX1o3Rifmp.webp,,
